depth_m	age_gas_calBP	age_gas_calBPerr	co2_ppm	co2_1s_ppm	notes
768.84	29008.90		192.87	0.49	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
769.74	29150.70		192.26	0.17	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
770.10	29205.30		188.10	0.03	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
770.40	29249.60		192.39	0.97	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
770.93	29323.90		191.01	0.89	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
771.23	29366.10		189.83	0.30	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
771.53	29410.20		189.21	0.66	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
772.87	29609.20		189.24	0.04	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
773.36	29681.20		189.77	0.25	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
773.77	29742.80		191.28	0.27	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
774.41	29837.80		190.97	0.16	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
775.18	29952.10		191.38	1.23	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
775.49	29999.00		191.57	0.22	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
776.19	30101.50		188.25	0.59	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
776.73	30181.70		188.48	0.62	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
777.37	30277.90		186.52	0.08	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
777.60	30312.70		185.99	0.60	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
778.17	30400.50		184.30	0.30	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
779.06	30528.80		182.94	0.43	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
780.26	30713.00		187.14	0.20	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
780.67	30775.70		190.33	0.73	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
781.83	31105.20		188.00	0.06	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
782.60	31356.40		188.48	0.78	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
783.14	31524.10		189.95	0.36	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
783.97	31792.10		193.71	1.23	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
784.06	31818.40		192.93	1.13	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
784.44	31933.90		192.51	0.11	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
784.78	32026.90		193.33	0.43	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
785.49	32079.60		193.91	1.12	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
786.45	32147.50		196.42	0.49	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
786.49	32150.60		196.91	1.31	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
